Ward,Primary Type,Count
30,HOMICIDE   ,103
30,INTERFERENCE WITH PUBLIC OFFICER   ,209
30,INTIMIDATION       ,57
30,KIDNAPPING ,115
30,LIQUOR LAW VIOLATION       ,284
30,MOTOR VEHICLE THEFT        ,6476
30,NARCOTICS  ,6497
30,NON-CRIMINAL       ,4
30,OBSCENITY  ,15
30,OFFENSE INVOLVING CHILDREN ,869
30,OTHER NARCOTIC VIOLATION   ,4
30,OTHER OFFENSE      ,6540
30,PROSTITUTION       ,2897
30,PUBLIC PEACE VIOLATION     ,711
30,ROBBERY    ,3812
30,SEX OFFENSE        ,481
30,STALKING   ,45
30,THEFT      ,16575
30,WEAPONS VIOLATION  ,1098
31,ARSON      ,307
31,ASSAULT    ,5717
31,BATTERY    ,16388
31,BURGLARY   ,7170
31,CONCEALED CARRY LICENSE VIOLATION  ,9
31,CRIM SEXUAL ASSAULT        ,367
31,CRIMINAL DAMAGE    ,12398
31,CRIMINAL SEXUAL ASSAULT    ,44
31,CRIMINAL TRESPASS  ,1574
31,DECEPTIVE PRACTICE ,3781
31,GAMBLING   ,24
31,HOMICIDE   ,94
31,INTERFERENCE WITH PUBLIC OFFICER   ,263
31,INTIMIDATION       ,50
31,KIDNAPPING ,117
31,LIQUOR LAW VIOLATION       ,211
31,MOTOR VEHICLE THEFT        ,7029
31,NARCOTICS  ,5810
31,NON-CRIMINAL       ,4
31,OBSCENITY  ,8
31,OFFENSE INVOLVING CHILDREN ,900
31,OTHER NARCOTIC VIOLATION   ,1
31,OTHER OFFENSE      ,7103
31,PROSTITUTION       ,1625
31,PUBLIC INDECENCY   ,2
31,PUBLIC PEACE VIOLATION     ,766
31,ROBBERY    ,3303
31,SEX OFFENSE        ,458
31,STALKING   ,49
31,THEFT      ,17436
31,WEAPONS VIOLATION  ,1085
32,ARSON      ,108
32,ASSAULT    ,3640
32,BATTERY    ,10278
32,BURGLARY   ,10458
32,CONCEALED CARRY LICENSE VIOLATION  ,2
32,CRIM SEXUAL ASSAULT        ,286
32,CRIMINAL DAMAGE    ,13687
32,CRIMINAL SEXUAL ASSAULT    ,35
32,CRIMINAL TRESPASS  ,2316
32,DECEPTIVE PRACTICE ,6935
32,GAMBLING   ,16
32,HOMICIDE   ,36
32,INTERFERENCE WITH PUBLIC OFFICER   ,92
32,INTIMIDATION       ,42
32,KIDNAPPING ,55
32,LIQUOR LAW VIOLATION       ,338
32,MOTOR VEHICLE THEFT        ,5909
32,NARCOTICS  ,1930
32,NON-CRIMINAL       ,1
32,OBSCENITY  ,15
32,OFFENSE INVOLVING CHILDREN ,298
32,OTHER NARCOTIC VIOLATION   ,2
32,OTHER OFFENSE      ,4095
32,PROSTITUTION       ,1821
32,PUBLIC INDECENCY   ,5
32,PUBLIC PEACE VIOLATION     ,368
32,ROBBERY    ,3357
32,SEX OFFENSE        ,372
32,STALKING   ,52
32,THEFT      ,47073
32,WEAPONS VIOLATION  ,285
33,ARSON      ,139
33,ASSAULT    ,3659
33,BATTERY    ,11805
33,BURGLARY   ,4771
33,CONCEALED CARRY LICENSE VIOLATION  ,3
33,CRIM SEXUAL ASSAULT        ,279
33,CRIMINAL DAMAGE    ,9866
33,CRIMINAL SEXUAL ASSAULT    ,48
33,CRIMINAL TRESPASS  ,1586
33,DECEPTIVE PRACTICE ,2958
33,GAMBLING   ,60
33,HOMICIDE   ,85
33,INTERFERENCE WITH PUBLIC OFFICER   ,108
33,INTIMIDATION       ,41
33,KIDNAPPING ,63
33,LIQUOR LAW VIOLATION       ,293
33,MOTOR VEHICLE THEFT        ,4400
33,NARCOTICS  ,3545
33,OBSCENITY  ,7
33,OFFENSE INVOLVING CHILDREN ,615
33,OTHER NARCOTIC VIOLATION   ,4
33,OTHER OFFENSE      ,4644
33,PROSTITUTION       ,483
33,PUBLIC INDECENCY   ,1
33,PUBLIC PEACE VIOLATION     ,578
33,ROBBERY    ,2351
33,SEX OFFENSE        ,434
33,STALKING   ,49
33,THEFT      ,14250
33,WEAPONS VIOLATION  ,574
34,ARSON      ,391
34,ASSAULT    ,15439
34,BATTERY    ,41368
34,BURGLARY   ,12764
34,CONCEALED CARRY LICENSE VIOLATION  ,19
34,CRIM SEXUAL ASSAULT        ,845
34,CRIMINAL DAMAGE    ,24537
34,CRIMINAL SEXUAL ASSAULT    ,94
34,CRIMINAL TRESPASS  ,4174
34,DECEPTIVE PRACTICE ,6010
34,GAMBLING   ,364
34,HOMICIDE   ,442
34,HUMAN TRAFFICKING  ,3
34,INTERFERENCE WITH PUBLIC OFFICER   ,631
34,INTIMIDATION       ,131
34,KIDNAPPING ,234
34,LIQUOR LAW VIOLATION       ,98
34,MOTOR VEHICLE THEFT        ,8216
34,NARCOTICS  ,20865
34,NON - CRIMINAL     ,1
34,OBSCENITY  ,10
34,OFFENSE INVOLVING CHILDREN ,1768
34,OTHER OFFENSE      ,13113
34,PROSTITUTION       ,634
34,PUBLIC INDECENCY   ,2
34,PUBLIC PEACE VIOLATION     ,1176
34,ROBBERY    ,7017
34,SEX OFFENSE        ,619
34,STALKING   ,88
34,THEFT      ,26988
34,WEAPONS VIOLATION  ,4207
35,ARSON      ,213
35,ASSAULT    ,5503
35,BATTERY    ,14690
35,BURGLARY   ,6680
35,CONCEALED CARRY LICENSE VIOLATION  ,3
35,CRIM SEXUAL ASSAULT        ,368
35,CRIMINAL DAMAGE    ,11400
35,CRIMINAL SEXUAL ASSAULT    ,70
35,CRIMINAL TRESPASS  ,1709
35,DECEPTIVE PRACTICE ,3683
35,GAMBLING   ,25
35,HOMICIDE   ,111
35,HUMAN TRAFFICKING  ,2
35,INTERFERENCE WITH PUBLIC OFFICER   ,128
35,INTIMIDATION       ,50
35,KIDNAPPING ,90
35,LIQUOR LAW VIOLATION       ,275
35,MOTOR VEHICLE THEFT        ,6017
35,NARCOTICS  ,4407
35,NON - CRIMINAL     ,1
35,NON-CRIMINAL       ,2
35,OBSCENITY  ,14
35,OFFENSE INVOLVING CHILDREN ,736
35,OTHER NARCOTIC VIOLATION   ,2
35,OTHER OFFENSE      ,5673
35,PROSTITUTION       ,538
35,PUBLIC INDECENCY   ,4
35,PUBLIC PEACE VIOLATION     ,552
35,ROBBERY    ,3711
35,SEX OFFENSE        ,480
35,STALKING   ,63
35,THEFT      ,21926
35,WEAPONS VIOLATION  ,700
36,ARSON      ,137
36,ASSAULT    ,4114
36,BATTERY    ,10651
36,BURGLARY   ,5563
36,CONCEALED CARRY LICENSE VIOLATION  ,7
36,CRIM SEXUAL ASSAULT        ,193
36,CRIMINAL DAMAGE    ,10906
36,CRIMINAL SEXUAL ASSAULT    ,47
36,CRIMINAL TRESPASS  ,1148
36,DECEPTIVE PRACTICE ,3862
36,GAMBLING   ,61
36,HOMICIDE   ,49
36,HUMAN TRAFFICKING  ,1
36,INTERFERENCE WITH PUBLIC OFFICER   ,85
36,INTIMIDATION       ,43
36,KIDNAPPING ,85
36,LIQUOR LAW VIOLATION       ,123
36,MOTOR VEHICLE THEFT        ,4141
36,NARCOTICS  ,2100
36,NON-CRIMINAL       ,1
36,OBSCENITY  ,10
36,OFFENSE INVOLVING CHILDREN ,603
36,OTHER NARCOTIC VIOLATION   ,2
36,OTHER OFFENSE      ,5890
36,PROSTITUTION       ,27
36,PUBLIC INDECENCY   ,2
36,PUBLIC PEACE VIOLATION     ,371
36,ROBBERY    ,1635
36,SEX OFFENSE        ,344
36,STALKING   ,27
36,THEFT      ,19030
36,WEAPONS VIOLATION  ,460
37,ARSON      ,409
37,ASSAULT    ,11955
37,BATTERY    ,37109
37,BURGLARY   ,8163
37,CONCEALED CARRY LICENSE VIOLATION  ,14
37,CRIM SEXUAL ASSAULT        ,715
37,CRIMINAL DAMAGE    ,17743
37,CRIMINAL SEXUAL ASSAULT    ,114
37,CRIMINAL TRESPASS  ,3203
37,DECEPTIVE PRACTICE ,5594
37,GAMBLING   ,801
37,HOMICIDE   ,458
37,HUMAN TRAFFICKING  ,2
37,INTERFERENCE WITH PUBLIC OFFICER   ,747
37,INTIMIDATION       ,81
37,KIDNAPPING ,149
37,LIQUOR LAW VIOLATION       ,263
37,MOTOR VEHICLE THEFT        ,8304
37,NARCOTICS  ,33217
37,NON-CRIMINAL (SUBJECT SPECIFIED)   ,1
37,OBSCENITY  ,12
37,OFFENSE INVOLVING CHILDREN ,1475
37,OTHER NARCOTIC VIOLATION   ,2
37,OTHER OFFENSE      ,11573
37,PROSTITUTION       ,2057
37,PUBLIC INDECENCY   ,3
37,PUBLIC PEACE VIOLATION     ,1135
37,RITUALISM  ,1
37,ROBBERY    ,7615
37,SEX OFFENSE        ,603
37,STALKING   ,71
37,THEFT      ,28197
37,WEAPONS VIOLATION  ,3232
38,ARSON      ,154
38,ASSAULT    ,4003
38,BATTERY    ,11164
38,BURGLARY   ,5166
38,CONCEALED CARRY LICENSE VIOLATION  ,2
38,CRIM SEXUAL ASSAULT        ,208
38,CRIMINAL DAMAGE    ,11215
38,CRIMINAL SEXUAL ASSAULT    ,18
38,CRIMINAL TRESPASS  ,1579
38,DECEPTIVE PRACTICE ,3624
38,GAMBLING   ,22
38,HOMICIDE   ,34
38,INTERFERENCE WITH PUBLIC OFFICER   ,108
38,INTIMIDATION       ,44
38,KIDNAPPING ,84
38,LIQUOR LAW VIOLATION       ,228
38,MOTOR VEHICLE THEFT        ,4355
38,NARCOTICS  ,3937
38,NON - CRIMINAL     ,1
38,NON-CRIMINAL       ,1
38,OBSCENITY  ,18
38,OFFENSE INVOLVING CHILDREN ,536
38,OTHER NARCOTIC VIOLATION   ,4
38,OTHER OFFENSE      ,6040
38,PROSTITUTION       ,136
38,PUBLIC INDECENCY   ,1
38,PUBLIC PEACE VIOLATION     ,568
38,ROBBERY    ,1578
38,SEX OFFENSE        ,349
38,STALKING   ,43
38,THEFT      ,15874
38,WEAPONS VIOLATION  ,412
39,ARSON      ,105
39,ASSAULT    ,3391
39,BATTERY    ,9850
39,BURGLARY   ,4964
39,CONCEALED CARRY LICENSE VIOLATION  ,2
39,CRIM SEXUAL ASSAULT        ,216
39,CRIMINAL DAMAGE    ,9476
39,CRIMINAL SEXUAL ASSAULT    ,33
39,CRIMINAL TRESPASS  ,1377
39,DECEPTIVE PRACTICE ,3264
39,GAMBLING   ,57
39,HOMICIDE   ,38
39,HUMAN TRAFFICKING  ,1
39,INTERFERENCE WITH PUBLIC OFFICER   ,93
39,INTIMIDATION       ,49
39,KIDNAPPING ,69
39,LIQUOR LAW VIOLATION       ,189
39,MOTOR VEHICLE THEFT        ,3716
39,NARCOTICS  ,2831
39,NON-CRIMINAL       ,6
39,OBSCENITY  ,9
39,OFFENSE INVOLVING CHILDREN ,469
39,OTHER NARCOTIC VIOLATION   ,10
39,OTHER OFFENSE      ,4574
39,PROSTITUTION       ,163
39,PUBLIC PEACE VIOLATION     ,449
39,ROBBERY    ,1807
39,SEX OFFENSE        ,390
39,STALKING   ,37
39,THEFT      ,15716
39,WEAPONS VIOLATION  ,403
4,ARSON       ,110
4,ASSAULT     ,9348
4,BATTERY     ,24228
4,BURGLARY    ,6466
4,CONCEALED CARRY LICENSE VIOLATION   ,8
4,CRIM SEXUAL ASSAULT ,488
4,CRIMINAL DAMAGE     ,13347
4,CRIMINAL SEXUAL ASSAULT     ,113
4,CRIMINAL TRESPASS   ,4812
4,DECEPTIVE PRACTICE  ,6709
4,GAMBLING    ,230
4,HOMICIDE    ,146
4,HUMAN TRAFFICKING   ,1
4,INTERFERENCE WITH PUBLIC OFFICER    ,169
4,INTIMIDATION        ,71
4,KIDNAPPING  ,89
4,LIQUOR LAW VIOLATION        ,51
4,MOTOR VEHICLE THEFT ,5922
4,NARCOTICS   ,10037
4,NON-CRIMINAL        ,2
4,OBSCENITY   ,19
4,OFFENSE INVOLVING CHILDREN  ,913
4,OTHER OFFENSE       ,9023
4,PROSTITUTION        ,48
4,PUBLIC INDECENCY    ,4
4,PUBLIC PEACE VIOLATION      ,555
4,ROBBERY     ,5538
4,SEX OFFENSE ,441
4,STALKING    ,86
4,THEFT       ,31695
4,WEAPONS VIOLATION   ,1148
40,ARSON      ,73
40,ASSAULT    ,4090
40,BATTERY    ,11902
40,BURGLARY   ,4629
40,CONCEALED CARRY LICENSE VIOLATION  ,1
40,CRIM SEXUAL ASSAULT        ,266
40,CRIMINAL DAMAGE    ,10206
40,CRIMINAL SEXUAL ASSAULT    ,66
40,CRIMINAL TRESPASS  ,1926
40,DECEPTIVE PRACTICE ,4162
40,GAMBLING   ,95
40,HOMICIDE   ,34
40,INTERFERENCE WITH PUBLIC OFFICER   ,131
40,INTIMIDATION       ,40
40,KIDNAPPING ,69
40,LIQUOR LAW VIOLATION       ,241
40,MOTOR VEHICLE THEFT        ,3282
40,NARCOTICS  ,3416
40,NON-CRIMINAL       ,3
40,NON-CRIMINAL (SUBJECT SPECIFIED)   ,1
40,OBSCENITY  ,9
40,OFFENSE INVOLVING CHILDREN ,452
40,OTHER NARCOTIC VIOLATION   ,3
40,OTHER OFFENSE      ,5269
40,PROSTITUTION       ,210
40,PUBLIC PEACE VIOLATION     ,559
40,ROBBERY    ,2008
40,SEX OFFENSE        ,367
40,STALKING   ,55
40,THEFT      ,17563
40,WEAPONS VIOLATION  ,377
41,ARSON      ,66
41,ASSAULT    ,3286
41,BATTERY    ,8434
41,BURGLARY   ,2485
41,CONCEALED CARRY LICENSE VIOLATION  ,160
41,CRIM SEXUAL ASSAULT        ,146
41,CRIMINAL DAMAGE    ,9032
41,CRIMINAL SEXUAL ASSAULT    ,29
41,CRIMINAL TRESPASS  ,3985
41,DECEPTIVE PRACTICE ,6273
41,GAMBLING   ,15
41,HOMICIDE   ,14
41,HUMAN TRAFFICKING  ,1
41,INTERFERENCE WITH PUBLIC OFFICER   ,69
41,INTIMIDATION       ,41
41,KIDNAPPING ,89
41,LIQUOR LAW VIOLATION       ,72
41,MOTOR VEHICLE THEFT        ,2382
41,NARCOTICS  ,3099
41,NON - CRIMINAL     ,1
41,NON-CRIMINAL       ,23
41,OBSCENITY  ,9
41,OFFENSE INVOLVING CHILDREN ,343
41,OTHER NARCOTIC VIOLATION   ,1
41,OTHER OFFENSE      ,9730
41,PROSTITUTION       ,73
41,PUBLIC INDECENCY   ,1
41,PUBLIC PEACE VIOLATION     ,539
41,ROBBERY    ,410
41,SEX OFFENSE        ,325
41,STALKING   ,53
41,THEFT      ,20055
41,WEAPONS VIOLATION  ,248
42,ARSON      ,69
42,ASSAULT    ,10134
42,BATTERY    ,27523
42,BURGLARY   ,5308
42,CONCEALED CARRY LICENSE VIOLATION  ,20
42,CRIM SEXUAL ASSAULT        ,802
42,CRIMINAL DAMAGE    ,13645
42,CRIMINAL SEXUAL ASSAULT    ,251
42,CRIMINAL TRESPASS  ,10556
42,DECEPTIVE PRACTICE ,34774
42,GAMBLING   ,21
42,HOMICIDE   ,54
42,HUMAN TRAFFICKING  ,2
42,INTERFERENCE WITH PUBLIC OFFICER   ,426
42,INTIMIDATION       ,177
42,KIDNAPPING ,55
42,LIQUOR LAW VIOLATION       ,590
42,MOTOR VEHICLE THEFT        ,5130
42,NARCOTICS  ,4699
42,NON - CRIMINAL     ,1
42,NON-CRIMINAL       ,15
42,OBSCENITY  ,19
42,OFFENSE INVOLVING CHILDREN ,326
42,OTHER NARCOTIC VIOLATION   ,14
42,OTHER OFFENSE      ,10307
42,PROSTITUTION       ,3393
42,PUBLIC INDECENCY   ,27
42,PUBLIC PEACE VIOLATION     ,1770
42,RITUALISM  ,2
42,ROBBERY    ,6852
42,SEX OFFENSE        ,843
42,STALKING   ,171
42,THEFT      ,141772
42,WEAPONS VIOLATION  ,807
43,ARSON      ,48
43,ASSAULT    ,2435
43,BATTERY    ,8228
43,BURGLARY   ,5847
43,CONCEALED CARRY LICENSE VIOLATION  ,4
43,CRIM SEXUAL ASSAULT        ,271
43,CRIMINAL DAMAGE    ,10087
43,CRIMINAL SEXUAL ASSAULT    ,44
43,CRIMINAL TRESPASS  ,1876
43,DECEPTIVE PRACTICE ,6735
43,GAMBLING   ,12
43,HOMICIDE   ,13
43,HUMAN TRAFFICKING  ,1
43,INTERFERENCE WITH PUBLIC OFFICER   ,72
43,INTIMIDATION       ,22
43,KIDNAPPING ,48
43,LIQUOR LAW VIOLATION       ,346
43,MOTOR VEHICLE THEFT        ,3575
43,NARCOTICS  ,1283
43,NON-CRIMINAL       ,2
43,OBSCENITY  ,8
43,OFFENSE INVOLVING CHILDREN ,192
43,OTHER NARCOTIC VIOLATION   ,4
43,OTHER OFFENSE      ,3129
43,PROSTITUTION       ,235
43,PUBLIC INDECENCY   ,7
43,PUBLIC PEACE VIOLATION     ,327
43,ROBBERY    ,2844
43,SEX OFFENSE        ,389
43,STALKING   ,49
43,THEFT      ,37546
43,WEAPONS VIOLATION  ,174
44,ARSON      ,63
44,ASSAULT    ,3233
44,BATTERY    ,12122
44,BURGLARY   ,6344
44,CONCEALED CARRY LICENSE VIOLATION  ,6
44,CRIM SEXUAL ASSAULT        ,407
44,CRIMINAL DAMAGE    ,8907
44,CRIMINAL SEXUAL ASSAULT    ,87
44,CRIMINAL TRESPASS  ,2990
44,DECEPTIVE PRACTICE ,8049
44,GAMBLING   ,11
44,HOMICIDE   ,23
44,HUMAN TRAFFICKING  ,1
44,INTERFERENCE WITH PUBLIC OFFICER   ,132
44,INTIMIDATION       ,46
44,KIDNAPPING ,20
44,LIQUOR LAW VIOLATION       ,362
44,MOTOR VEHICLE THEFT        ,3309
44,NARCOTICS  ,2694
44,NON-CRIMINAL       ,13
44,OBSCENITY  ,8
44,OFFENSE INVOLVING CHILDREN ,155
44,OTHER NARCOTIC VIOLATION   ,14
44,OTHER OFFENSE      ,3969
44,PROSTITUTION       ,526
44,PUBLIC INDECENCY   ,7
44,PUBLIC PEACE VIOLATION     ,714
44,ROBBERY    ,3798
44,SEX OFFENSE        ,424
44,STALKING   ,60
44,THEFT      ,35905
44,WEAPONS VIOLATION  ,220
45,ARSON      ,111
45,ASSAULT    ,3941
45,BATTERY    ,10167
45,BURGLARY   ,4569
45,CONCEALED CARRY LICENSE VIOLATION  ,3
45,CRIM SEXUAL ASSAULT        ,206
45,CRIMINAL DAMAGE    ,10564
45,CRIMINAL SEXUAL ASSAULT    ,32
45,CRIMINAL TRESPASS  ,1539
45,DECEPTIVE PRACTICE ,4562
45,GAMBLING   ,55
45,HOMICIDE   ,38
45,HUMAN TRAFFICKING  ,3
45,INTERFERENCE WITH PUBLIC OFFICER   ,90
45,INTIMIDATION       ,63
45,KIDNAPPING ,96
45,LIQUOR LAW VIOLATION       ,210
45,MOTOR VEHICLE THEFT        ,3486
45,NARCOTICS  ,2983
45,NON - CRIMINAL     ,3
45,NON-CRIMINAL       ,3
45,OBSCENITY  ,13
45,OFFENSE INVOLVING CHILDREN ,604
45,OTHER NARCOTIC VIOLATION   ,2
45,OTHER OFFENSE      ,5998
45,PROSTITUTION       ,57
45,PUBLIC INDECENCY   ,2
45,PUBLIC PEACE VIOLATION     ,368
45,ROBBERY    ,1349
45,SEX OFFENSE        ,324
45,STALKING   ,57
45,THEFT      ,17730
45,WEAPONS VIOLATION  ,284
46,ARSON      ,66
46,ASSAULT    ,5609
46,BATTERY    ,15476
46,BURGLARY   ,3353
46,CONCEALED CARRY LICENSE VIOLATION  ,6
46,CRIM SEXUAL ASSAULT        ,431
46,CRIMINAL DAMAGE    ,7838
46,CRIMINAL SEXUAL ASSAULT    ,72
46,CRIMINAL TRESPASS  ,3395
46,DECEPTIVE PRACTICE ,6858
46,GAMBLING   ,63
46,HOMICIDE   ,78
46,INTERFERENCE WITH PUBLIC OFFICER   ,152
46,INTIMIDATION       ,43
46,KIDNAPPING ,41
46,LIQUOR LAW VIOLATION       ,197
46,MOTOR VEHICLE THEFT        ,2873
46,NARCOTICS  ,9587
46,NON-CRIMINAL       ,4
46,OBSCENITY  ,12
46,OFFENSE INVOLVING CHILDREN ,449
46,OTHER NARCOTIC VIOLATION   ,3
46,OTHER OFFENSE      ,5424
46,PROSTITUTION       ,747
46,PUBLIC INDECENCY   ,3
46,PUBLIC PEACE VIOLATION     ,734
46,ROBBERY    ,2735
46,SEX OFFENSE        ,669
46,STALKING   ,38
46,THEFT      ,23626
46,WEAPONS VIOLATION  ,493
47,ARSON      ,79
47,ASSAULT    ,2965
47,BATTERY    ,7457
47,BURGLARY   ,6317
47,CONCEALED CARRY LICENSE VIOLATION  ,2
47,CRIM SEXUAL ASSAULT        ,244
47,CRIMINAL DAMAGE    ,9574
47,CRIMINAL SEXUAL ASSAULT    ,46
47,CRIMINAL TRESPASS  ,1774
47,DECEPTIVE PRACTICE ,5193
47,GAMBLING   ,53
47,HOMICIDE   ,32
47,INTERFERENCE WITH PUBLIC OFFICER   ,77
47,INTIMIDATION       ,63
47,KIDNAPPING ,61
47,LIQUOR LAW VIOLATION       ,203
47,MOTOR VEHICLE THEFT        ,3240
47,NARCOTICS  ,2229
47,NON-CRIMINAL       ,4
47,OBSCENITY  ,9
47,OFFENSE INVOLVING CHILDREN ,343
47,OTHER NARCOTIC VIOLATION   ,3
47,OTHER OFFENSE      ,4359
47,PROSTITUTION       ,140
47,PUBLIC INDECENCY   ,5
47,PUBLIC PEACE VIOLATION     ,473
47,ROBBERY    ,1754
47,SEX OFFENSE        ,382
47,STALKING   ,63
47,THEFT      ,23339
47,WEAPONS VIOLATION  ,217
48,ARSON      ,60
48,ASSAULT    ,4136
48,BATTERY    ,11842
48,BURGLARY   ,3296
48,CONCEALED CARRY LICENSE VIOLATION  ,2
48,CRIM SEXUAL ASSAULT        ,315
48,CRIMINAL DAMAGE    ,6824
48,CRIMINAL SEXUAL ASSAULT    ,63
48,CRIMINAL TRESPASS  ,2345
48,DECEPTIVE PRACTICE ,4436
48,GAMBLING   ,76
48,HOMICIDE   ,59
48,INTERFERENCE WITH PUBLIC OFFICER   ,92
48,INTIMIDATION       ,37
48,KIDNAPPING ,31
48,LIQUOR LAW VIOLATION       ,174
48,MOTOR VEHICLE THEFT        ,2267
48,NARCOTICS  ,4203
48,NON-CRIMINAL       ,1
48,OBSCENITY  ,8
48,OFFENSE INVOLVING CHILDREN ,366
48,OTHER NARCOTIC VIOLATION   ,2
48,OTHER OFFENSE      ,4798
48,PROSTITUTION       ,230
48,PUBLIC INDECENCY   ,2
48,PUBLIC PEACE VIOLATION     ,591
48,ROBBERY    ,2443
48,SEX OFFENSE        ,362
48,STALKING   ,41
48,THEFT      ,18883
48,WEAPONS VIOLATION  ,301
49,ARSON      ,96
49,ASSAULT    ,5868
49,BATTERY    ,17894
49,BURGLARY   ,4816
49,CRIM SEXUAL ASSAULT        ,423
49,CRIMINAL DAMAGE    ,11612
49,CRIMINAL SEXUAL ASSAULT    ,94
49,CRIMINAL TRESPASS  ,3659
49,DECEPTIVE PRACTICE ,4404
49,GAMBLING   ,137
49,HOMICIDE   ,101
49,HUMAN TRAFFICKING  ,1
49,INTERFERENCE WITH PUBLIC OFFICER   ,259
49,INTIMIDATION       ,49
49,KIDNAPPING ,66
49,LIQUOR LAW VIOLATION       ,267
49,MOTOR VEHICLE THEFT        ,2845
49,NARCOTICS  ,8915
49,NON-CRIMINAL       ,3
49,OBSCENITY  ,13
49,OFFENSE INVOLVING CHILDREN ,688
49,OTHER NARCOTIC VIOLATION   ,3
49,OTHER OFFENSE      ,6664
49,PROSTITUTION       ,885
49,PUBLIC INDECENCY   ,3
49,PUBLIC PEACE VIOLATION     ,522
49,ROBBERY    ,3982
49,SEX OFFENSE        ,527
49,STALKING   ,61
49,THEFT      ,21293
49,WEAPONS VIOLATION  ,841
5,ARSON       ,174
5,ASSAULT     ,11634
5,BATTERY     ,32280
5,BURGLARY    ,11715
5,CONCEALED CARRY LICENSE VIOLATION   ,8
5,CRIM SEXUAL ASSAULT ,718
5,CRIMINAL DAMAGE     ,18993
5,CRIMINAL SEXUAL ASSAULT     ,123
5,CRIMINAL TRESPASS   ,4625
5,DECEPTIVE PRACTICE  ,6863
5,GAMBLING    ,396
5,HOMICIDE    ,307
5,HUMAN TRAFFICKING   ,3
5,INTERFERENCE WITH PUBLIC OFFICER    ,392
5,INTIMIDATION        ,104
5,KIDNAPPING  ,123
5,LIQUOR LAW VIOLATION        ,79
5,MOTOR VEHICLE THEFT ,7274
5,NARCOTICS   ,10914
5,NON - CRIMINAL      ,1
5,NON-CRIMINAL        ,4
5,OBSCENITY   ,16
5,OFFENSE INVOLVING CHILDREN  ,1372
5,OTHER NARCOTIC VIOLATION    ,1
5,OTHER OFFENSE       ,11655
5,PROSTITUTION        ,151
5,PUBLIC INDECENCY    ,3
5,PUBLIC PEACE VIOLATION      ,984
5,RITUALISM   ,1
5,ROBBERY     ,7717
5,SEX OFFENSE ,573
5,STALKING    ,116
5,THEFT       ,31456
5,WEAPONS VIOLATION   ,2047
50,ARSON      ,96
50,ASSAULT    ,3751
50,BATTERY    ,10748
50,BURGLARY   ,5269
50,CONCEALED CARRY LICENSE VIOLATION  ,4
50,CRIM SEXUAL ASSAULT        ,233
50,CRIMINAL DAMAGE    ,10387
50,CRIMINAL SEXUAL ASSAULT    ,31
50,CRIMINAL TRESPASS  ,1425
50,DECEPTIVE PRACTICE ,3851
50,GAMBLING   ,54
50,HOMICIDE   ,52
50,INTERFERENCE WITH PUBLIC OFFICER   ,118
50,INTIMIDATION       ,39
50,KIDNAPPING ,72
50,LIQUOR LAW VIOLATION       ,186
50,MOTOR VEHICLE THEFT        ,3398
50,NARCOTICS  ,3217
50,OBSCENITY  ,17
50,OFFENSE INVOLVING CHILDREN ,543
50,OTHER OFFENSE      ,4938
50,PROSTITUTION       ,134
50,PUBLIC INDECENCY   ,2
50,PUBLIC PEACE VIOLATION     ,322
50,ROBBERY    ,2260
50,SEX OFFENSE        ,310
50,STALKING   ,42
50,THEFT      ,17944
50,WEAPONS VIOLATION  ,409
6,ARSON       ,351
6,ASSAULT     ,16640
6,BATTERY     ,45922
6,BURGLARY    ,13392
6,CONCEALED CARRY LICENSE VIOLATION   ,39
6,CRIM SEXUAL ASSAULT ,958
6,CRIMINAL DAMAGE     ,25054
6,CRIMINAL SEXUAL ASSAULT     ,125
6,CRIMINAL TRESPASS   ,5858
6,DECEPTIVE PRACTICE  ,8766
6,GAMBLING    ,385
6,HOMICIDE    ,499
6,HUMAN TRAFFICKING   ,3
6,INTERFERENCE WITH PUBLIC OFFICER    ,771
6,INTIMIDATION        ,114
6,KIDNAPPING  ,262
6,LIQUOR LAW VIOLATION        ,198
6,MOTOR VEHICLE THEFT ,12161
6,NARCOTICS   ,19642
6,NON-CRIMINAL        ,1
6,OBSCENITY   ,11
6,OFFENSE INVOLVING CHILDREN  ,1841
6,OTHER NARCOTIC VIOLATION    ,1
6,OTHER OFFENSE       ,14438
6,PROSTITUTION        ,1077
6,PUBLIC INDECENCY    ,4
6,PUBLIC PEACE VIOLATION      ,1367
6,ROBBERY     ,12550
6,SEX OFFENSE ,699
6,STALKING    ,155
6,THEFT       ,37092
6,WEAPONS VIOLATION   ,4246
7,ARSON       ,281
7,ASSAULT     ,14813
7,BATTERY     ,41449
7,BURGLARY    ,12811
7,CONCEALED CARRY LICENSE VIOLATION   ,16
7,CRIM SEXUAL ASSAULT ,839
7,CRIMINAL DAMAGE     ,22056
7,CRIMINAL SEXUAL ASSAULT     ,115
7,CRIMINAL TRESPASS   ,4069
7,DECEPTIVE PRACTICE  ,5689
7,GAMBLING    ,320
7,HOMICIDE    ,396
7,HUMAN TRAFFICKING   ,3
7,INTERFERENCE WITH PUBLIC OFFICER    ,527
7,INTIMIDATION        ,122
7,KIDNAPPING  ,186
7,LIQUOR LAW VIOLATION        ,181
7,MOTOR VEHICLE THEFT ,7677
7,NARCOTICS   ,17211
7,OBSCENITY   ,16
