Ward,Primary Type,Count
14,HOMICIDE   ,178
14,INTERFERENCE WITH PUBLIC OFFICER   ,157
14,INTIMIDATION       ,81
14,KIDNAPPING ,112
14,LIQUOR LAW VIOLATION       ,253
14,MOTOR VEHICLE THEFT        ,6221
14,NARCOTICS  ,6673
14,NON - CRIMINAL     ,1
14,NON-CRIMINAL       ,1
14,OBSCENITY  ,21
14,OFFENSE INVOLVING CHILDREN ,926
14,OTHER NARCOTIC VIOLATION   ,1
14,OTHER OFFENSE      ,5444
14,PROSTITUTION       ,1924
14,PUBLIC INDECENCY   ,4
14,PUBLIC PEACE VIOLATION     ,1154
14,ROBBERY    ,3451
14,SEX OFFENSE        ,577
14,STALKING   ,50
14,THEFT      ,17633
14,WEAPONS VIOLATION  ,1281
15,ARSON      ,435
15,ASSAULT    ,13277
15,BATTERY    ,39628
15,BURGLARY   ,12126
15,CONCEALED CARRY LICENSE VIOLATION  ,13
15,CRIM SEXUAL ASSAULT        ,804
15,CRIMINAL DAMAGE    ,21696
15,CRIMINAL SEXUAL ASSAULT    ,63
15,CRIMINAL TRESPASS  ,3663
15,DECEPTIVE PRACTICE ,4416
15,GAMBLING   ,649
15,HOMICIDE   ,367
15,HUMAN TRAFFICKING  ,1
15,INTERFERENCE WITH PUBLIC OFFICER   ,560
15,INTIMIDATION       ,69
15,KIDNAPPING ,172
15,LIQUOR LAW VIOLATION       ,202
15,MOTOR VEHICLE THEFT        ,8081
15,NARCOTICS  ,21131
15,NON - CRIMINAL     ,3
15,NON-CRIMINAL       ,4
15,OBSCENITY  ,16
15,OFFENSE INVOLVING CHILDREN ,1554
15,OTHER OFFENSE      ,10804
15,PROSTITUTION       ,1657
15,PUBLIC INDECENCY   ,2
15,PUBLIC PEACE VIOLATION     ,1562
15,ROBBERY    ,7884
15,SEX OFFENSE        ,681
15,STALKING   ,66
15,THEFT      ,25697
15,WEAPONS VIOLATION  ,3335
16,ARSON      ,478
16,ASSAULT    ,14815
16,BATTERY    ,44759
16,BURGLARY   ,12027
16,CONCEALED CARRY LICENSE VIOLATION  ,34
16,CRIM SEXUAL ASSAULT        ,794
16,CRIMINAL DAMAGE    ,22231
16,CRIMINAL SEXUAL ASSAULT    ,139
16,CRIMINAL TRESPASS  ,4265
16,DECEPTIVE PRACTICE ,4191
16,GAMBLING   ,737
16,HOMICIDE   ,544
16,HUMAN TRAFFICKING  ,4
16,INTERFERENCE WITH PUBLIC OFFICER   ,746
16,INTIMIDATION       ,121
16,KIDNAPPING ,162
16,LIQUOR LAW VIOLATION       ,255
16,MOTOR VEHICLE THEFT        ,8031
16,NARCOTICS  ,28499
16,NON - CRIMINAL     ,2
16,NON-CRIMINAL       ,4
16,NON-CRIMINAL (SUBJECT SPECIFIED)   ,1
16,OBSCENITY  ,13
16,OFFENSE INVOLVING CHILDREN ,1588
16,OTHER OFFENSE      ,11151
16,PROSTITUTION       ,2056
16,PUBLIC INDECENCY   ,1
16,PUBLIC PEACE VIOLATION     ,1782
16,ROBBERY    ,7727
16,SEX OFFENSE        ,667
16,STALKING   ,67
16,THEFT      ,25213
16,WEAPONS VIOLATION  ,4327
17,ARSON      ,430
17,ASSAULT    ,18044
17,BATTERY    ,53852
17,BURGLARY   ,14239
17,CONCEALED CARRY LICENSE VIOLATION  ,39
17,CRIM SEXUAL ASSAULT        ,1023
17,CRIMINAL DAMAGE    ,26014
17,CRIMINAL SEXUAL ASSAULT    ,115
17,CRIMINAL TRESPASS  ,5238
17,DECEPTIVE PRACTICE ,6156
17,GAMBLING   ,783
17,HOMICIDE   ,485
17,HUMAN TRAFFICKING  ,3
17,INTERFERENCE WITH PUBLIC OFFICER   ,909
17,INTIMIDATION       ,120
17,KIDNAPPING ,192
17,LIQUOR LAW VIOLATION       ,239
17,MOTOR VEHICLE THEFT        ,9825
17,NARCOTICS  ,23655
17,NON-CRIMINAL       ,2
17,OBSCENITY  ,18
17,OFFENSE INVOLVING CHILDREN ,1899
17,OTHER OFFENSE      ,14030
17,PROSTITUTION       ,1686
